latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
48.4071317,15.5204123,476.4,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4072632,15.5206104,476.4,0,4,0,1,-25,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4073113,15.520881,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4072632,15.5211516,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4071317,15.5213497,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.406952,15.5214222,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4067723,15.5213497,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4066408,15.5211516,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4065927,15.520881,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4066408,15.5206104,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4067723,15.5204123,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.406952,15.5203398,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4071317,15.5204123,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4072632,15.5206104,456.4,0,4,0,1,-5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4073113,15.520881,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4072632,15.5211516,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4071317,15.5213497,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.406952,15.5214222,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4067723,15.5213497,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4066408,15.5211516,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4065927,15.520881,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4066408,15.5206104,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4067723,15.5204123,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.406952,15.5203398,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4071317,15.5204123,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
48.4072632,15.5206104,436.4,0,4,0,1,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,2.5,48.406952,15.520881,456.4,1,-1,4
